,id,contains index,contains annotations,volume count,volumes,unenumed volumes
0,IA94644A4,Yes,Yes,1,"OrderedDict([('f1536', ['segment'])])","OrderedDict([('f1536', [])])"
1,IC449C728,No,Yes,8,"OrderedDict([('E21E', ['pagination']), ('4753', ['pagination']), ('88B7', ['pagination']), ('9192', ['pagination']), ('6478', ['pagination']), ('66A7', ['pagination']), ('B0C7', ['pagination']), ('9484', ['pagination'])])","OrderedDict([('E21E', []), ('4753', []), ('88B7', []), ('9192', []), ('6478', []), ('66A7', []), ('B0C7', []), ('9484', [])])"
2,ICCE6909C,No,Yes,1,"OrderedDict([('421A', ['pagination'])])","OrderedDict([('421A', [])])"
3,IBD7143A5,No,Yes,1,"OrderedDict([('EEAF', ['pagination'])])","OrderedDict([('EEAF', [])])"
4,IBD006820,No,Yes,1,"OrderedDict([('2AA9', ['pagination'])])","OrderedDict([('2AA9', [])])"
5,ICA56A6A6,No,Yes,1,"OrderedDict([('6C66', ['pagination'])])","OrderedDict([('6C66', [])])"
6,IA87687F7,No,Yes,1,"OrderedDict([('80E8', ['pagination'])])","OrderedDict([('80E8', [])])"
7,IA1EE5242,No,Yes,1,"OrderedDict([('BB84', ['pagination'])])","OrderedDict([('BB84', [])])"
8,I790E2927,No,Yes,2,"OrderedDict([('C0DC', ['pagination']), ('B5FA', ['pagination'])])","OrderedDict([('C0DC', []), ('B5FA', [])])"
9,I4A52F059,No,Yes,1,"OrderedDict([('00A2', ['pagination'])])","OrderedDict([('00A2', [])])"
10,IC216711D,No,Yes,1,"OrderedDict([('CB3B', ['pagination'])])","OrderedDict([('CB3B', [])])"
11,I2325A3B9,No,Yes,1,"OrderedDict([('6180', ['pagination'])])","OrderedDict([('6180', [])])"
12,I2C8979FD,No,Yes,1,"OrderedDict([('F74D', ['pagination'])])","OrderedDict([('F74D', [])])"
13,I93A7333A,No,Yes,1,"OrderedDict([('8FA4', ['pagination'])])","OrderedDict([('8FA4', [])])"
14,I8828F22F,No,Yes,1,"OrderedDict([('B358', ['pagination'])])","OrderedDict([('B358', [])])"
15,IBE1B1BE1,No,Yes,1,"OrderedDict([('192A', ['pagination'])])","OrderedDict([('192A', [])])"
16,IE17AD4A1,No,Yes,1,"OrderedDict([('0FCE', ['pagination'])])","OrderedDict([('0FCE', [])])"
17,ID85C9700,No,Yes,1,"OrderedDict([('2DD4', ['pagination'])])","OrderedDict([('2DD4', [])])"
18,I4E66E68F,No,Yes,1,"OrderedDict([('DE3A', ['pagination'])])","OrderedDict([('DE3A', [])])"
19,I326D2813,No,Yes,1,"OrderedDict([('B622', ['pagination'])])","OrderedDict([('B622', [])])"
20,I78907044,No,Yes,1,"OrderedDict([('5340', ['pagination'])])","OrderedDict([('5340', [])])"
