,id,legacy_id,ocr_import_info,default_language,source,source_file,initial_creation_type,imported,last_modified,parser,source_metadata,statistics,quality,bases,copyright,license
0,D8B94A4B1,,,,https://library.bdrc.io,,ocr,2021-11-12 07:57:42+00:00,2022-05-26 06:01:45.102008+00:00,https://github.com/OpenPecha-dev/openpecha-toolkit/blob/a7eec5e12ddce18d0ed1dbb732a42cf48f94dd09/openpecha/formatters/hfml.py,"{'base': {'a164': {'image_group_id': 'I1PD95846', 'title': 'ཆོས་ཀྱི་དབྱིངས་སུ་བསྟོད་པ།', 'total_pages': 1539, 'order': 1, 'base_file': 'a164.txt'}}}",{},{},{},status=<CopyrightStatus.UNKNOWN: 'Unknown'> notice='' info_url=None,
1,D4D424EB2,,,,https://library.bdrc.io,,ocr,2021-11-12 07:57:35+00:00,2022-05-26 06:02:08.674936+00:00,https://github.com/OpenPecha-dev/openpecha-toolkit/blob/a7eec5e12ddce18d0ed1dbb732a42cf48f94dd09/openpecha/formatters/hfml.py,"{'base': {'4144': {'image_group_id': 'I1PD95846', 'title': 'ཆོས་ཀྱི་དབྱིངས་སུ་བསྟོད་པ།', 'total_pages': 1539, 'order': 1, 'base_file': '4144.txt'}}}",{},{},{},status=<CopyrightStatus.UNKNOWN: 'Unknown'> notice='' info_url=None,
2,D443E7614,,,,https://library.bdrc.io,,ocr,2021-11-12 07:57:23+00:00,2022-05-26 06:04:19.069019+00:00,https://github.com/OpenPecha-dev/openpecha-toolkit/blob/a7eec5e12ddce18d0ed1dbb732a42cf48f94dd09/openpecha/formatters/hfml.py,"{'base': {'be9e': {'image_group_id': 'I1PD95846', 'title': 'དཔེ་མེད་པར་བསྟོད་པ།', 'total_pages': 1539, 'order': 1, 'base_file': 'be9e.txt'}}}",{},{},{},status=<CopyrightStatus.UNKNOWN: 'Unknown'> notice='' info_url=None,
3,DC58D04A4,,,,https://library.bdrc.io,,ocr,2021-11-12 07:57:48+00:00,2022-05-26 06:04:24.213839+00:00,https://github.com/OpenPecha-dev/openpecha-toolkit/blob/a7eec5e12ddce18d0ed1dbb732a42cf48f94dd09/openpecha/formatters/hfml.py,"{'base': {'5fe8': {'image_group_id': 'I1PD95846', 'title': 'དཔེ་མེད་པར་བསྟོད་པ།', 'total_pages': 1539, 'order': 1, 'base_file': '5fe8.txt'}}}",{},{},{},status=<CopyrightStatus.UNKNOWN: 'Unknown'> notice='' info_url=None,
4,DB432CA33,,,,https://library.bdrc.io,,ocr,2021-11-12 09:46:13+00:00,2022-05-26 06:04:34.421343+00:00,https://github.com/OpenPecha-dev/openpecha-toolkit/blob/a7eec5e12ddce18d0ed1dbb732a42cf48f94dd09/openpecha/formatters/hfml.py,"{'base': {'6b69': {'image_group_id': 'I1PD95846', 'title': 'འཇིག་རྟེན་ལས་འདས་པར་བསྟོད་པ།', 'total_pages': 1539, 'order': 1, 'base_file': '6b69.txt'}}}",{},{},{},status=<CopyrightStatus.UNKNOWN: 'Unknown'> notice='' info_url=None,
5,D264064B4,,,,https://library.bdrc.io,,ocr,2021-11-12 09:21:53+00:00,2022-05-26 06:04:40.061019+00:00,https://github.com/OpenPecha-dev/openpecha-toolkit/blob/a7eec5e12ddce18d0ed1dbb732a42cf48f94dd09/openpecha/formatters/hfml.py,"{'base': {'944d': {'image_group_id': 'I1PD95846', 'title': 'འཇིག་རྟེན་ལས་འདས་པར་བསྟོད་པ།', 'total_pages': 1539, 'order': 1, 'base_file': '944d.txt'}}}",{},{},{},status=<CopyrightStatus.UNKNOWN: 'Unknown'> notice='' info_url=None,
6,DC109AB7D,,,,https://library.bdrc.io,,ocr,2021-11-12 09:36:08+00:00,2022-05-26 06:04:50.507847+00:00,https://github.com/OpenPecha-dev/openpecha-toolkit/blob/a7eec5e12ddce18d0ed1dbb732a42cf48f94dd09/openpecha/formatters/hfml.py,"{'base': {'54b6': {'image_group_id': 'I1PD95846', 'title': 'སེམས་ཀྱི་རྡོ་རྗེའི་བསྟོད་པ།', 'total_pages': 1539, 'order': 1, 'base_file': '54b6.txt'}}}",{},{},{},status=<CopyrightStatus.UNKNOWN: 'Unknown'> notice='' info_url=None,
7,D643D7B8A,,,,https://library.bdrc.io,,ocr,2021-11-12 09:17:43+00:00,2022-05-26 06:04:56.454704+00:00,https://github.com/OpenPecha-dev/openpecha-toolkit/blob/a7eec5e12ddce18d0ed1dbb732a42cf48f94dd09/openpecha/formatters/hfml.py,"{'base': {'3d2b': {'image_group_id': 'I1PD95846', 'title': 'སེམས་ཀྱི་རྡོ་རྗེའི་བསྟོད་པ།', 'total_pages': 1539, 'order': 1, 'base_file': '3d2b.txt'}}}",{},{},{},status=<CopyrightStatus.UNKNOWN: 'Unknown'> notice='' info_url=None,
8,D19F4E2F9,,,,https://library.bdrc.io,,ocr,2021-12-31 07:03:40+00:00,2022-05-26 06:05:06.487525+00:00,https://github.com/OpenPecha-dev/openpecha-toolkit/blob/a7eec5e12ddce18d0ed1dbb732a42cf48f94dd09/openpecha/formatters/hfml.py,"{'base': {'319d': {'image_group_id': 'I1PD95846', 'title': 'དོན་དམ་པར་བསྟོད་པ།', 'total_pages': 1539, 'order': 1, 'base_file': '319d.txt'}}}",{},{},{},status=<CopyrightStatus.UNKNOWN: 'Unknown'> notice='' info_url=None,
9,D2D200042,,,,https://library.bdrc.io,,ocr,2021-12-31 06:46:27+00:00,2022-05-26 06:05:11.399048+00:00,https://github.com/OpenPecha-dev/openpecha-toolkit/blob/a7eec5e12ddce18d0ed1dbb732a42cf48f94dd09/openpecha/formatters/hfml.py,"{'base': {'e346': {'image_group_id': 'I1PD95846', 'title': 'དོན་དམ་པར་བསྟོད་པ།', 'total_pages': 1539, 'order': 1, 'base_file': 'e346.txt'}}}",{},{},{},status=<CopyrightStatus.UNKNOWN: 'Unknown'> notice='' info_url=None,
