,id,legacy_id,ocr_import_info,default_language,source,source_file,initial_creation_type,imported,last_modified,parser,source_metadata,statistics,quality,bases,copyright,license
0,O65B596C4,,,,,,,2023-03-29 17:10:16.485293,2023-03-29 17:10:16.485296,,,,,{'A727': {'base_file': 'A727.txt'}},status=<CopyrightStatus.UNKNOWN: 'Unknown'> notice='' info_url=None,
1,O4A3A200F,,,,,,,2023-03-29 17:10:30.037399,2023-03-29 17:10:30.037403,,,,,{'6A61': {'base_file': '6A61.txt'}},status=<CopyrightStatus.UNKNOWN: 'Unknown'> notice='' info_url=None,
2,O481F4333,,,,,,,2023-03-29 17:12:17.715275,2023-03-29 17:12:17.715279,,,,,{'B2BA': {'base_file': 'B2BA.txt'}},status=<CopyrightStatus.UNKNOWN: 'Unknown'> notice='' info_url=None,
3,OB7654EDE,,,,,,,2023-03-29 17:12:31.212838,2023-03-29 17:12:31.212902,,,,,{'9395': {'base_file': '9395.txt'}},status=<CopyrightStatus.UNKNOWN: 'Unknown'> notice='' info_url=None,
4,OC265D8CC,,,,,,,2023-03-29 17:14:10.574909,2023-03-29 17:14:10.574912,,,,,{'1911': {'base_file': '1911.txt'}},status=<CopyrightStatus.UNKNOWN: 'Unknown'> notice='' info_url=None,
5,O571B737A,,,,,,,2023-03-29 17:14:24.267657,2023-03-29 17:14:24.267662,,,,,{'25B1': {'base_file': '25B1.txt'}},status=<CopyrightStatus.UNKNOWN: 'Unknown'> notice='' info_url=None,
6,O1B49BD6A,,,,,,,2023-03-30 10:53:35.322536,2023-03-30 10:53:35.322539,,,,,{'0246': {'base_file': '0246.txt'}},status=<CopyrightStatus.UNKNOWN: 'Unknown'> notice='' info_url=None,
7,O536D1AA4,,,,,,,2023-03-30 10:53:48.273896,2023-03-30 10:53:48.273900,,,,,{'9147': {'base_file': '9147.txt'}},status=<CopyrightStatus.UNKNOWN: 'Unknown'> notice='' info_url=None,
8,O3DAA0784,,,,,,,2023-03-30 11:00:06.498521,2023-03-30 11:00:06.498525,,,,,{'6766': {'base_file': '6766.txt'}},status=<CopyrightStatus.UNKNOWN: 'Unknown'> notice='' info_url=None,
9,O77271183,,,,,,,2023-03-30 11:00:19.467498,2023-03-30 11:00:19.467502,,,,,{'9BE2': {'base_file': '9BE2.txt'}},status=<CopyrightStatus.UNKNOWN: 'Unknown'> notice='' info_url=None,
10,O6F15239F,,,,,,,2023-03-30 11:07:28.615495,2023-03-30 11:07:28.615498,,,,,{'95F3': {'base_file': '95F3.txt'}},status=<CopyrightStatus.UNKNOWN: 'Unknown'> notice='' info_url=None,
11,O2F28E429,,,,,,,2023-03-30 11:07:40.864961,2023-03-30 11:07:40.864966,,,,,{'918B': {'base_file': '918B.txt'}},status=<CopyrightStatus.UNKNOWN: 'Unknown'> notice='' info_url=None,
12,O9B9C1CAC,,,,,,,2023-03-30 11:27:09.496477,2023-03-30 11:27:09.496480,,,,,{'0724': {'base_file': '0724.txt'}},status=<CopyrightStatus.UNKNOWN: 'Unknown'> notice='' info_url=None,
13,O5457C0B5,,,,,,,2023-03-30 11:27:29.444305,2023-03-30 11:27:29.444324,,,,,{'992E': {'base_file': '992E.txt'}},status=<CopyrightStatus.UNKNOWN: 'Unknown'> notice='' info_url=None,
14,O23F7C667,,,,,,,2023-03-30 12:14:24.698363,2023-03-30 12:14:24.698367,,,,,{'941E': {'base_file': '941E.txt'}},status=<CopyrightStatus.UNKNOWN: 'Unknown'> notice='' info_url=None,
15,OBDE07DDB,,,,,,,2023-03-30 12:14:38.073599,2023-03-30 12:14:38.073605,,,,,{'93D7': {'base_file': '93D7.txt'}},status=<CopyrightStatus.UNKNOWN: 'Unknown'> notice='' info_url=None,
16,OC4B0E8A0,,,,,,,2023-03-30 12:16:59.430026,2023-03-30 12:16:59.430032,,,,,{'4247': {'base_file': '4247.txt'}},status=<CopyrightStatus.UNKNOWN: 'Unknown'> notice='' info_url=None,
17,OF8DDF6E8,,,,,,,2023-03-30 12:17:18.283858,2023-03-30 12:17:18.283865,,,,,{'28DB': {'base_file': '28DB.txt'}},status=<CopyrightStatus.UNKNOWN: 'Unknown'> notice='' info_url=None,
18,O1EB43CCE,,,,,,,2023-03-30 12:19:16.961740,2023-03-30 12:19:16.961743,,,,,{'A710': {'base_file': 'A710.txt'}},status=<CopyrightStatus.UNKNOWN: 'Unknown'> notice='' info_url=None,
19,OC6088A5C,,,,,,,2023-03-30 12:19:29.886722,2023-03-30 12:19:29.886728,,,,,{'E0EA': {'base_file': 'E0EA.txt'}},status=<CopyrightStatus.UNKNOWN: 'Unknown'> notice='' info_url=None,
20,O6EA01065,,,,,,,2023-03-30 12:25:24.947946,2023-03-30 12:25:24.947952,,,,,{'E171': {'base_file': 'E171.txt'}},status=<CopyrightStatus.UNKNOWN: 'Unknown'> notice='' info_url=None,
21,OB66560F5,,,,,,,2023-03-30 12:25:39.596004,2023-03-30 12:25:39.596008,,,,,{'570B': {'base_file': '570B.txt'}},status=<CopyrightStatus.UNKNOWN: 'Unknown'> notice='' info_url=None,
22,O3AF99B89,,,,,,,2023-03-31 06:40:14.267046,2023-03-31 06:40:14.267051,,,,,{'F4E0': {'base_file': 'F4E0.txt'}},status=<CopyrightStatus.UNKNOWN: 'Unknown'> notice='' info_url=None,
23,O04D079FD,,,,,,,2023-03-31 06:40:23.238885,2023-03-31 06:40:23.238890,,,,,{'4A8B': {'base_file': '4A8B.txt'}},status=<CopyrightStatus.UNKNOWN: 'Unknown'> notice='' info_url=None,
