,id,contains index,contains annotations,volume count,volumes,unenumed volumes
0,O65B596C4,No,No,0,,
1,O4A3A200F,No,No,0,,
2,O481F4333,No,No,0,,
3,OB7654EDE,No,No,0,,
4,OC265D8CC,No,No,0,,
5,O571B737A,No,No,0,,
6,O1B49BD6A,No,No,0,,
7,O536D1AA4,No,No,0,,
8,O3DAA0784,No,No,0,,
9,O77271183,No,No,0,,
10,O6F15239F,No,No,0,,
11,O2F28E429,No,No,0,,
12,O9B9C1CAC,No,No,0,,
13,O5457C0B5,No,No,0,,
14,O23F7C667,No,No,0,,
15,OBDE07DDB,No,No,0,,
16,OC4B0E8A0,No,No,0,,
17,OF8DDF6E8,No,No,0,,
18,O1EB43CCE,No,No,0,,
19,OC6088A5C,No,No,0,,
20,O6EA01065,No,No,0,,
21,OB66560F5,No,No,0,,
22,O3AF99B89,No,No,0,,
23,O04D079FD,No,No,0,,
24,O16E52552,No,No,0,,
25,OC9D94D9D,No,No,0,,
26,O66BF9EDC,No,No,0,,
27,O192F059E,No,No,0,,
28,O9A4F587C,No,No,0,,
29,O23FE4FA2,No,No,0,,
30,OCD2B27C7,No,No,0,,
31,O0B099EEC,No,No,0,,
32,O516FF648,No,No,0,,
33,O555FEE7D,No,No,0,,
34,O8C476831,No,No,0,,
35,O6A3A6496,No,No,0,,
36,OA91A429D,No,No,0,,
37,O9F07197C,No,No,0,,
38,O0A71FE13,No,No,0,,
39,OA0A6E3CB,No,No,0,,
40,O1FBB7B13,No,No,0,,
41,OE543BBF4,No,No,0,,
42,O6F881496,No,No,0,,
43,OEACDDCE8,No,No,0,,
44,O27D44242,No,No,0,,
45,O099B4880,No,No,0,,
46,O42F44EC9,No,No,0,,
47,O5772809D,No,No,0,,
48,OC4DC19C1,No,No,0,,
49,O41830FF1,No,No,0,,
50,O3A798797,No,No,0,,
51,O2BB8B772,No,No,0,,
52,O4DCB29A4,No,No,0,,
53,OAEA3C584,No,No,0,,
54,O8F89F0DF,No,No,0,,
55,O2DA57D74,No,No,0,,
56,O1B13E836,No,No,0,,
57,O8887744D,No,No,0,,
58,O84CEDF47,No,No,0,,
59,O73AB519A,No,No,0,,
60,OF7BB52BE,No,No,0,,
61,O44AAAAB9,No,No,0,,
62,O9429D49B,No,No,0,,
63,O4C8D6BB0,No,No,0,,
64,OA8F43F99,No,No,0,,
65,OB764F6BC,No,No,0,,
66,O758CA3BB,No,No,0,,
67,OA4A64E47,No,No,0,,
68,O0A0CACDC,No,No,0,,
69,OAB2A294E,No,No,0,,
70,O87CA06A1,No,No,0,,
71,OC39E9D98,No,No,0,,
72,OE5B28175,No,No,0,,
73,OE629F6A6,No,No,0,,
74,OC9BA8CF6,No,No,0,,
75,O5455B150,No,No,0,,
76,O87EA44AA,No,No,0,,
77,O099FAD59,No,No,0,,
78,OC6DB6E24,No,No,0,,
79,OCC6AB605,No,No,0,,
80,OB70C4227,No,No,0,,
81,OFD393555,No,No,0,,
82,O1F7FF6F1,No,No,0,,
83,O9977A713,No,No,0,,
84,OF1968A6E,No,No,0,,
85,OF8FCA0FA,No,No,0,,
86,O26DCAAC4,No,No,0,,
87,OBED70010,No,No,0,,
88,OAFF06AA6,No,No,0,,
89,O754B1259,No,No,0,,
90,O12B4BFF5,No,No,0,,
91,O8598EDB7,No,No,0,,
92,O9BB93759,No,No,0,,
93,OBBFD4DA3,No,No,0,,
94,O014CD7B2,No,No,0,,
95,O41948474,No,No,0,,
96,ODA444D0E,No,No,0,,
97,OF616CC68,No,No,0,,
98,OC4BB525C,No,No,0,,
99,O2D2BCB5C,No,No,0,,
100,O794A48B8,No,No,0,,
101,OC8CA0445,No,No,0,,
102,O2BACC2B2,No,No,0,,
103,OE6B3A80D,No,No,0,,
104,OB96C6736,No,No,0,,
105,O16F5CCB6,No,No,0,,
106,O61C8C4FF,No,No,0,,
107,O83AB35BA,No,No,0,,
108,OF0202298,No,No,0,,
109,OAAA6C875,No,No,0,,
110,O9E43BB9B,No,No,0,,
111,OE9A94ED2,No,No,0,,
112,ODBF96BFF,No,No,0,,
113,O74839BB9,No,No,0,,
114,O03399B94,No,No,0,,
115,OD774FB4F,No,No,0,,
116,O32DD1136,No,No,0,,
117,O678F5873,No,No,0,,
118,OFB663340,No,No,0,,
119,OD070C466,No,No,0,,
120,OE47C1BB7,No,No,0,,
121,OAE8C4448,No,No,0,,
122,O8080AE09,No,No,0,,
123,OD6C32699,No,No,0,,
124,O49F61264,No,No,0,,
125,OC2EDA005,No,No,0,,
126,O1B8E014C,No,No,0,,
127,O4F42070F,No,No,0,,
128,O34005151,No,No,0,,
129,OEDA7DE0E,No,No,0,,
130,O1AC81423,No,No,0,,
131,O4749E047,No,No,0,,
132,O4C9BB7DF,No,No,0,,
133,OC9CED41F,No,No,0,,
134,OC90940C2,No,No,0,,
135,O896818FA,No,No,0,,
136,O237ADA4B,No,No,0,,
137,O815D4D2D,No,No,0,,
138,OEDBFE272,No,No,0,,
139,O1D2E486B,No,No,0,,
140,O5FD70B55,No,No,0,,
141,O4B5FC2C2,No,No,0,,
142,O31BFCEF0,No,No,0,,
143,O574E684D,No,No,0,,
144,OD6979C11,No,No,0,,
145,O4CD8BCBE,No,No,0,,
146,O1479AAF8,No,No,0,,
147,O446B8285,No,No,0,,
148,O3959A105,No,No,0,,
149,OB84C7D2D,No,No,0,,
150,OE1F7D36D,No,No,0,,
151,O2E4BB379,No,No,0,,
152,OC123B744,No,No,0,,
153,OC70F0E63,No,No,0,,
154,O7CC9A1A7,No,No,0,,
155,OCB1B884B,No,No,0,,
156,OC302EF73,No,No,0,,
157,O3C1FFB2E,No,No,0,,
158,O336D77D4,No,No,0,,
159,O27CBAE55,No,No,0,,
160,O616686DE,No,No,0,,
161,OD8CE7EA5,No,No,0,,
162,O9E990B9E,No,No,0,,
163,O8AEBFF66,No,No,0,,
164,OCBF6F9A7,No,No,0,,
165,O7D63DD3C,No,No,0,,
166,O4E19A3E2,No,No,0,,
167,O44E14E48,No,No,0,,
168,OA4225AEF,No,No,0,,
169,O0008724C,No,No,0,,
170,O0606EF56,No,No,0,,
