,id,contains index,contains annotations,volume count,volumes,unenumed volumes
0,6b7cc9304415483c859e19e890139dd4,No,Yes,1.0,"OrderedDict([('v001', ['yigchung', 'author', 'book_number', 'sub_title', 'citation', 'book_title', 'tsawa', 'chapter', 'sabche'])])","OrderedDict([('v001', [])])"
1,dbbad24dd5244915ad979169156daaa8,No,Yes,1.0,"OrderedDict([('v001', ['yigchung', 'author', 'book_number', 'sub_title', 'citation', 'book_title', 'tsawa', 'chapter', 'sabche'])])","OrderedDict([('v001', [])])"
2,b81190ea93bf4a979974c5e7f67a510f,No,Yes,1.0,"OrderedDict([('v001', ['yigchung', 'author', 'book_number', 'sub_title', 'citation', 'book_title', 'tsawa', 'chapter', 'sabche'])])","OrderedDict([('v001', [])])"
3,1a51dd08b1224840a8e3d540dea7284d,No,Yes,1.0,"OrderedDict([('v001', ['yigchung', 'author', 'book_number', 'sub_title', 'citation', 'book_title', 'tsawa', 'chapter', 'sabche'])])","OrderedDict([('v001', [])])"
4,6120aaf163c24a589fb9ebbd4e1090ee,No,Yes,1.0,"OrderedDict([('v001', ['yigchung', 'author', 'book_number', 'sub_title', 'citation', 'book_title', 'tsawa', 'chapter', 'sabche'])])","OrderedDict([('v001', [])])"
5,0fff821899534ad38367173a8855dd48,No,Yes,1.0,"OrderedDict([('v001', ['yigchung', 'author', 'book_number', 'sub_title', 'citation', 'book_title', 'tsawa', 'chapter', 'sabche'])])","OrderedDict([('v001', [])])"
6,b66d0e40086c49cfb5e3e545b14b5644,No,Yes,1.0,"OrderedDict([('v001', ['yigchung', 'author', 'book_number', 'sub_title', 'citation', 'book_title', 'tsawa', 'chapter', 'sabche'])])","OrderedDict([('v001', [])])"
7,9266fdb67bb34ecc939ccd55142f3306,No,Yes,1.0,"OrderedDict([('v001', ['yigchung', 'author', 'book_number', 'sub_title', 'citation', 'book_title', 'tsawa', 'chapter', 'sabche'])])","OrderedDict([('v001', [])])"
8,87f4aa62ece7483d96150e9f243076a4,No,Yes,1.0,"OrderedDict([('v001', ['yigchung', 'author', 'book_number', 'sub_title', 'citation', 'book_title', 'tsawa', 'chapter', 'sabche'])])","OrderedDict([('v001', [])])"
9,386265d79a9b4cad9c1de84bb961e317,No,Yes,1.0,"OrderedDict([('v001', ['yigchung', 'author', 'book_number', 'sub_title', 'citation', 'book_title', 'tsawa', 'chapter', 'sabche'])])","OrderedDict([('v001', [])])"
10,9041d02e010042b8a09c9e41924f1fc8,No,Yes,1.0,"OrderedDict([('v001', ['yigchung', 'author', 'book_number', 'sub_title', 'citation', 'book_title', 'tsawa', 'chapter', 'sabche'])])","OrderedDict([('v001', [])])"
11,03f9b65abd7e4810b16e11e6f05c4291,No,Yes,1.0,"OrderedDict([('v001', ['yigchung', 'author', 'book_number', 'sub_title', 'citation', 'book_title', 'tsawa', 'chapter', 'sabche'])])","OrderedDict([('v001', [])])"
12,db838c91e6c64b78a532104f2c7f16b5,No,Yes,1.0,"OrderedDict([('v001', ['yigchung', 'author', 'book_number', 'sub_title', 'citation', 'book_title', 'tsawa', 'chapter', 'sabche'])])","OrderedDict([('v001', [])])"
13,1e3ba083d9f8415388ee1ad8e8ecaec3,No,Yes,1.0,"OrderedDict([('v001', ['yigchung', 'author', 'book_number', 'sub_title', 'citation', 'book_title', 'tsawa', 'chapter', 'sabche'])])","OrderedDict([('v001', [])])"
